payment_key_hash_hex,addresses,agent_balance_base,agent_flux_units,shards_balance_base,shards_flux_units,flux_pass_balance_base,flux_pass_flux_units,se_brawlers_balance_base,se_brawlers_flux_units,brawl_pass_etd_balance_base,brawl_pass_etd_flux_units,t1_adam_pass_balance_base,t1_adam_pass_flux_units,t2_adam_pass_balance_base,t2_adam_pass_flux_units,flux_total_units,flux_total_display
7c12fafa9cccfd94f6632bcb307f187abb66201d06e957376700d08d,addr1q97p97h6nnx0m98kvv4ukvrlrpatke3qr5rwj4ehvuqdprdvdkdhzuzwczfck2v4rv6spq3e9n34mn4025kfy82mlf0qfnd8ea,0,0,5000000,145612940,0,0,0,0,0,0,0,0,0,0,145612940,145.61294
7c1be9807ee2f1e71bb924b6c3748bcbce1659642ba22a930e324072,addr1q97ph6vq0m30recmhyjtdsm5309uu9jevs46y25npceyqujcr0jhxpg86ws0vy92w02axfh7kgc7r7zg09jvm0h6zr7q77wlay,0,0,83000000,2417174814,0,0,0,0,0,0,0,0,0,0,2417174814,2417.174814
7c205935db47e3274fd8f9fd9e8cf846b1291faef6430e9339de1347,addr1q97zqkf4mdr7xf60mrulm85vlprtz2gl4mmyxr5n880px3utfc5sq9nm7j8f3qpmkrkse47z76mfngy8zm522g94qlusvydjul,0,0,17107370,498210890,0,0,0,0,0,0,0,0,0,0,498210890,498.21089
7c28f8b374e9dab09042003e96228d295406fb0b350cade325c21f35,addr1q97z379nwn5a4vysggqra93z3554gphmpv6set0ryhpp7ddtvtrdprcww6eyfndunrksl9l4n4hj5r72vct70y5jem3qnmy2sg,0,0,1000000,29122588,0,0,0,0,0,0,0,0,0,0,29122588,29.122588
7c321ab30ecd7d8d3c46e96458681c1e44aa08b3df0bad87b67b84ff,addr1q97ryx4npmxhmrfugm5kgkrgrs0yf2sgk00shtv8keacflaxlqraynjfhvtua4yv3mrp9wpskamyga29guenk9cu0p3qn5l5px,0,0,2000000,58245176,0,0,0,0,0,0,0,0,0,0,58245176,58.245176
7c328320ab968353f78a681569480585bb514dec3e9e7c0146e341b4,addr1q97r9qeq4wtgx5lh3f5p262gqkzmk52daslfulqpgm35rdrdehvwghx2xz7spyv5y7fhcjay0ghjqcz2ah4q0mwgf4ts025v76,0,0,1000000,29122588,0,0,0,0,0,0,0,0,0,0,29122588,29.122588
7c3e6e4c5b4b51750ed31ca6584d17c1dfd9392c03520a28ee6c05b3,addr1q97rumjvtd94zagw6vw2vkzdzlqalkfe9sp4yz3gaekqtvmuhh45nmc5ytyvmwntwp4x6k344ej75f26h647k03fxp2q66kcj8,0,0,38000000,1106658349,0,0,0,0,0,0,0,0,0,0,1106658349,1106.658349
7c3e8ce3c924818e2b50dec9fa88cb7d3c299b18aa052bf6289f56e9,addr1q97rar8reyjgrr3t2r0vn75ged7nc2vmrz4q22lk9z04d6wjq94g2gpfwn8a3dmfzcd0cxwlpv2zvhwpp9z4h6x2ctpqjjn2sh,0,0,0,0,0,0,0,0,0,0,6,19151246931289,0,0,19151246931289,19151246.931289
7c4240a76f054e399283eec373591cf9ec1aa61e000e07667c8154bc,addr1q97yys98duz5uwvjs0hvxu6ernu7cx4xrcqqupmx0jq4f0xjkknuxuyjadmqy43nwalc6239ewjjqa9tqnwyhajnw2dsc6pzk2,0,0,3000000,87367764,0,0,0,0,0,0,0,0,0,0,87367764,87.367764
7c431a3074017c73311dd4a75507cdd02d095f9663e449fe93692ad2,addr1q97yxx3swsqhcue3rh22w4g8ehgz6z2lje37gj07jd5j4539dh39ng2t09utqmtayj20nsyzxw9ulfhpp92xlcd3gh6qlu544e,0,0,1000000,29122588,0,0,0,0,0,0,0,0,0,0,29122588,29.122588
